oracle_shape,Cpus,memory
BM.Standard1.36,36,256
BM.Standard2.52,52,768
BM.DenseIO1.36,36,512
BM.DenseIO2.52,52,768
VM.GPU2.1,12,104
BM.GPU2.2,28,192
VM.GPU3.1,6,90
VM.GPU3.2,12,180
VM.GPU3.4,24,360
BM.GPU3.8,52,768
VM.Standard1.1,1,7
VM.Standard2.1,1,15
VM.Standard1.2,2,14
VM.Standard2.2,2,30
VM.Standard1.4,4,28
VM.Standard2.4,4,60
VM.Standard1.8,8,56
VM.Standard2.8,8,120
VM.Standard1.16,16,112
VM.Standard2.16,16,240
VM.Standard2.24,24,320
VM.DenseIO1.4,4,60
VM.DenseIO1.8,8,120
VM.DenseIO2.8,8,120
VM.DenseIO1.16,16,240
VM.DenseIO2.16,16,240
VM.DenseIO2.24,24,320
